"cod_isco2","cod_isco1","txt_isco2"
1,0,"Offiziere in regulären Streitkräften"
2,0,"Unteroffiziere in regulären Streitkräften"
3,0,"Angehörige der regulären Streitkräfte in sonstigen Rängen"
10,1,"Führungskräfte, onA"
11,1,"Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften"
12,1,"Führungskräfte im kaufmännischen Bereich"
13,1,"Führungskräfte in der Produktion und bei spezialisierten Dienstleistungen"
14,1,"Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen"
20,2,"Intellektuelle und wissenschaftliche Berufe, onA"
21,2,"Naturwissenschaftler, Mathematiker und Ingenieure"
22,2,"Spezialisten in Gesundheitsberufen"
23,2,"Lehrkräfte"
24,2,"Betriebswirte und vergleichbare Spezialisten"
25,2,"Spezialisten in der Informations- und Kommunikationstechnologie"
26,2,"Juristen, Sozialwissenschaftler und Kulturberufe"
30,3,"Techniker und gleichrangige nichttechnische Berufe, onA"
31,3,"Ingenieurtechnische und vergleichbare Fachkräfte"
32,3,"Assistenzberufe im Gesundheitswesen"
33,3,"Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte"
34,3,"Juristische, soziale, kulturelle und verwandte Fachkräfte"
35,3,"Informations- und Kommunikationstechniker"
40,4,"Bürokräfte und verwandte Berufe, onA"
41,4,"Allgemeine Büro- und Sekretariatskräfte"
42,4,"Bürokräfte mit Kundenkontakt"
43,4,"Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft"
44,4,"Sonstige Bürokräfte und verwandte Berufe"
50,5,"Dienstleistungsberufe und Verkäufer, onA"
51,5,"Berufe im Bereich personenbezogener Dienstleistungen"
52,5,"Verkaufskräfte"
53,5,"Betreuungsberufe"
54,5,"Schutzkräfte und Sicherheitsbedienstete"
60,6,"Fachkräfte in Land- und Forstwirtschaft und Fischerei, onA"
61,6,"Fachkräfte in der Landwirtschaft"
62,6,"Fachkräfte in Forstwirtschaft, Fischerei und Jagd – Marktproduktion"
63,6,"Landwirte, Fischer, Jäger und Sammler für den Eigenbedarf"
70,7,"Handwerks- und verwandte Berufe, onA"
71,7,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker"
72,7,"Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe"
73,7,"Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe"
74,7,"Elektriker und Elektroniker"
75,7,"Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte"
80,8,"Bediener von Anlagen und Maschinen und Montageberufe, onA"
81,8,"Bediener stationärer Anlagen und Maschinen"
82,8,"Montageberufe"
83,8,"Fahrzeugführer und Bediener mobiler Anlagen"
90,9,"Hilfsarbeitskräfte, onA"
91,9,"Reinigungspersonal und Hilfskräfte"
92,9,"Hilfsarbeiter in der Land- und Forstwirtschaft und Fischerei"
93,9,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen"
94,9,"Hilfskräfte in der Nahrungsmittelzubereitung"
95,9,"Strassenhändler und auf der Strasse arbeitende Dienstleistungskräfte"
96,9,"Abfallentsorgungsarbeiter und sonstige Hilfsarbeitskräfte"
